epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.744,1.01075,3.39162,1.24228,0.02011,0.41605,0.22102,0.18116,0.72727,3.63494,0.98115,0.00015,0.00015,0.00015
2,82.9841,0.89019,2.35742,1.11101,0.59425,0.23913,0.23199,0.16503,0.7645,3.334,0.97306,0.000306312,0.000306312,0.000306312
3,119.175,0.91168,1.52945,1.11796,0.96252,0.22826,0.68183,0.51645,0.886,2.69748,1.04823,0.00045619,0.00045619,0.00045619
4,154.519,0.85587,1.272,1.08926,0.85523,0.28558,0.76725,0.61327,0.88299,2.43673,1.09237,0.000599632,0.000599632,0.000599632
5,194.954,0.85156,1.20614,1.05707,0.85331,0.46853,0.73683,0.52715,1.02372,2.50923,1.16388,0.00073664,0.00073664,0.00073664
6,231.382,0.92171,1.22402,1.11491,0.81745,0.56198,0.81391,0.61028,0.90696,2.16414,1.0871,0.000867213,0.000867213,0.000867213
7,267.75,0.91529,1.13888,1.1046,0.83775,0.5177,0.83645,0.58337,1.01479,2.22616,1.16506,0.00099135,0.00099135,0.00099135
8,304.448,0.88442,1.15411,1.07346,0.77634,0.4412,0.79278,0.56135,1.02524,2.80462,1.17702,0.00107675,0.00107675,0.00107675
9,339.549,0.8314,1.0733,1.07661,0.75767,0.71742,0.80717,0.61147,0.97525,1.86505,1.09255,0.001052,0.001052,0.001052
10,371.79,0.82259,1.03918,1.04855,0.77909,0.80276,0.82924,0.61472,0.99355,1.78444,1.09749,0.00102725,0.00102725,0.00102725
11,410.861,0.82747,1.00484,1.06099,0.82609,0.83767,0.86089,0.64819,0.91217,1.7758,1.10621,0.0010025,0.0010025,0.0010025
12,452.775,0.78044,0.93591,1.03963,0.85553,0.8036,0.87033,0.66831,0.95345,1.56928,1.15353,0.00097775,0.00097775,0.00097775
13,486.374,0.77557,0.92509,1.02553,0.88743,0.86475,0.8888,0.69785,0.90125,1.42437,1.07711,0.000953,0.000953,0.000953
